"תחנה","תאריך ושעה (שעון עולמי)","לחות יחסית (%)","טמפרטורה (C°)"
"ירושלים, גבעת רם","23/02/2026 00:00","69","8.2"
"ירושלים, מרכז","23/02/2026 00:00","68","9.5"
"תל-אביב, חוף","23/02/2026 00:00","79","14.5"
"ירושלים, גבעת רם","23/02/2026 00:10","70","8.2"
"ירושלים, מרכז","23/02/2026 00:10","70","9.5"
"תל-אביב, חוף","23/02/2026 00:10","79","14.4"
"ירושלים, גבעת רם","23/02/2026 00:20","72","8.2"
"ירושלים, מרכז","23/02/2026 00:20","72","9.4"
"תל-אביב, חוף","23/02/2026 00:20","79","14.3"
"ירושלים, גבעת רם","23/02/2026 00:30","73","7.9"
"ירושלים, מרכז","23/02/2026 00:30","75","9.4"
"תל-אביב, חוף","23/02/2026 00:30","79","14.1"
"ירושלים, גבעת רם","23/02/2026 00:40","75","7.7"
"ירושלים, מרכז","23/02/2026 00:40","76","9.4"
"תל-אביב, חוף","23/02/2026 00:40","80","14"
"ירושלים, גבעת רם","23/02/2026 00:50","77","7.6"
"ירושלים, מרכז","23/02/2026 00:50","76","9.3"
"תל-אביב, חוף","23/02/2026 00:50","80","13.9"
"ירושלים, גבעת רם","23/02/2026 01:00","78","7.6"
"ירושלים, מרכז","23/02/2026 01:00","78","9.3"
"תל-אביב, חוף","23/02/2026 01:00","80","13.9"
"ירושלים, גבעת רם","23/02/2026 01:10","78","7.4"
"ירושלים, מרכז","23/02/2026 01:10","79","9.2"
"תל-אביב, חוף","23/02/2026 01:10","80","13.8"
"ירושלים, גבעת רם","23/02/2026 01:20","79","7.4"
"ירושלים, מרכז","23/02/2026 01:20","81","9.2"
"תל-אביב, חוף","23/02/2026 01:20","80","13.8"
"ירושלים, גבעת רם","23/02/2026 01:30","81","7.5"
"ירושלים, מרכז","23/02/2026 01:30","83","9.2"
"תל-אביב, חוף","23/02/2026 01:30","79","13.7"
"ירושלים, גבעת רם","23/02/2026 01:40","82","7.6"
"ירושלים, מרכז","23/02/2026 01:40","85","9.2"
"תל-אביב, חוף","23/02/2026 01:40","79","13.6"
"ירושלים, גבעת רם","23/02/2026 01:50","83","7.7"
"ירושלים, מרכז","23/02/2026 01:50","85","9.1"
"תל-אביב, חוף","23/02/2026 01:50","79","13.5"
"ירושלים, גבעת רם","23/02/2026 02:00","84","7.7"
"ירושלים, מרכז","23/02/2026 02:00","85","9.1"
"תל-אביב, חוף","23/02/2026 02:00","79","13.3"
"ירושלים, גבעת רם","23/02/2026 02:10","85","7.5"
"ירושלים, מרכז","23/02/2026 02:10","84","9.1"
"תל-אביב, חוף","23/02/2026 02:10","78","13.2"
"ירושלים, גבעת רם","23/02/2026 02:20","85","7.5"
"ירושלים, מרכז","23/02/2026 02:20","83","9.2"
"תל-אביב, חוף","23/02/2026 02:20","78","13.2"
"ירושלים, גבעת רם","23/02/2026 02:30","86","7.4"
"ירושלים, מרכז","23/02/2026 02:30","82","9.2"
"תל-אביב, חוף","23/02/2026 02:30","77","13.1"
"ירושלים, גבעת רם","23/02/2026 02:40","87","7.5"
"ירושלים, מרכז","23/02/2026 02:40","81","9.2"
"תל-אביב, חוף","23/02/2026 02:40","77","13.1"
"ירושלים, גבעת רם","23/02/2026 02:50","86","7.5"
"ירושלים, מרכז","23/02/2026 02:50","81","9.1"
"תל-אביב, חוף","23/02/2026 02:50","77","13.1"
"ירושלים, גבעת רם","23/02/2026 03:00","85","7.6"
"ירושלים, מרכז","23/02/2026 03:00","81","9.2"
"תל-אביב, חוף","23/02/2026 03:00","77","13.1"
"ירושלים, גבעת רם","23/02/2026 03:10","84","7.6"
"ירושלים, מרכז","23/02/2026 03:10","81","9.2"
"תל-אביב, חוף","23/02/2026 03:10","77","13"
"ירושלים, גבעת רם","23/02/2026 03:20","83","7.4"
"ירושלים, מרכז","23/02/2026 03:20","82","9.2"
"תל-אביב, חוף","23/02/2026 03:20","77","13"
"ירושלים, גבעת רם","23/02/2026 03:30","84","7.2"
"ירושלים, מרכז","23/02/2026 03:30","82","9.1"
"תל-אביב, חוף","23/02/2026 03:30","76","13"
"ירושלים, גבעת רם","23/02/2026 03:40","85","7.3"
"ירושלים, מרכז","23/02/2026 03:40","82","9"
"תל-אביב, חוף","23/02/2026 03:40","76","13"
"ירושלים, גבעת רם","23/02/2026 03:50","85","7.6"
"ירושלים, מרכז","23/02/2026 03:50","82","9"
"תל-אביב, חוף","23/02/2026 03:50","75","13"
"ירושלים, גבעת רם","23/02/2026 04:00","84","7.9"
"ירושלים, מרכז","23/02/2026 04:00","82","8.9"
"תל-אביב, חוף","23/02/2026 04:00","74","13.1"
"ירושלים, גבעת רם","23/02/2026 04:10","84","7.7"
"ירושלים, מרכז","23/02/2026 04:10","83","8.9"
"תל-אביב, חוף","23/02/2026 04:10","73","13.2"
"ירושלים, גבעת רם","23/02/2026 04:20","85","7.8"
"ירושלים, מרכז","23/02/2026 04:20","84","8.9"
"תל-אביב, חוף","23/02/2026 04:20","72","13.3"
"ירושלים, גבעת רם","23/02/2026 04:30","86","7.9"
"ירושלים, מרכז","23/02/2026 04:30","84","8.9"
"תל-אביב, חוף","23/02/2026 04:30","72","13.4"
"ירושלים, גבעת רם","23/02/2026 04:40","86","8.1"
"ירושלים, מרכז","23/02/2026 04:40","83","9.1"
"תל-אביב, חוף","23/02/2026 04:40","72","13.5"
"ירושלים, גבעת רם","23/02/2026 04:50","85","8.6"
"ירושלים, מרכז","23/02/2026 04:50","82","9.4"
"תל-אביב, חוף","23/02/2026 04:50","72","13.6"
"ירושלים, גבעת רם","23/02/2026 05:00","81","9.2"
"ירושלים, מרכז","23/02/2026 05:00","80","9.8"
"תל-אביב, חוף","23/02/2026 05:00","71","13.9"
"ירושלים, גבעת רם","23/02/2026 05:10","81","9.1"
"ירושלים, מרכז","23/02/2026 05:10","77","10.2"
"תל-אביב, חוף","23/02/2026 05:10","70","14.2"
"ירושלים, גבעת רם","23/02/2026 05:20","79","9.3"
"ירושלים, מרכז","23/02/2026 05:20","72","10.6"
"תל-אביב, חוף","23/02/2026 05:20","70","14.3"
"ירושלים, גבעת רם","23/02/2026 05:30","74","9.8"
"ירושלים, מרכז","23/02/2026 05:30","66","11"
"תל-אביב, חוף","23/02/2026 05:30","70","14.6"
"ירושלים, גבעת רם","23/02/2026 05:40","65","10.5"
"ירושלים, מרכז","23/02/2026 05:40","64","11.5"
"תל-אביב, חוף","23/02/2026 05:40","70","15"
"ירושלים, גבעת רם","23/02/2026 05:50","62","11.1"
"ירושלים, מרכז","23/02/2026 05:50","68","12"
"תל-אביב, חוף","23/02/2026 05:50","69","15.2"
"ירושלים, גבעת רם","23/02/2026 06:00","63","11.6"
"ירושלים, מרכז","23/02/2026 06:00","66","12.4"
"תל-אביב, חוף","23/02/2026 06:00","67","15.6"
"ירושלים, גבעת רם","23/02/2026 06:10","59","11.8"
"ירושלים, מרכז","23/02/2026 06:10","67","12.4"
"תל-אביב, חוף","23/02/2026 06:10","67","15.9"
"ירושלים, גבעת רם","23/02/2026 06:20","57","12.1"
"ירושלים, מרכז","23/02/2026 06:20","67","12.5"
"תל-אביב, חוף","23/02/2026 06:20","66","16.1"
"ירושלים, גבעת רם","23/02/2026 06:30","61","12.1"
"ירושלים, מרכז","23/02/2026 06:30","65","12.8"
"תל-אביב, חוף","23/02/2026 06:30","66","16.3"
"ירושלים, גבעת רם","23/02/2026 06:40","61","11.9"
"ירושלים, מרכז","23/02/2026 06:40","62","13.2"
"תל-אביב, חוף","23/02/2026 06:40","65","16.6"
"ירושלים, גבעת רם","23/02/2026 06:50","59","12"
"ירושלים, מרכז","23/02/2026 06:50","59","13.4"
"תל-אביב, חוף","23/02/2026 06:50","65","16.7"
"ירושלים, גבעת רם","23/02/2026 07:00","58","12.3"
"ירושלים, מרכז","23/02/2026 07:00","57","13.7"
"תל-אביב, חוף","23/02/2026 07:00","64","16.7"
"ירושלים, גבעת רם","23/02/2026 07:10","58","12.3"
"ירושלים, מרכז","23/02/2026 07:10","55","13.7"
"תל-אביב, חוף","23/02/2026 07:10","64","16.9"
"ירושלים, גבעת רם","23/02/2026 07:20","56","12.4"
"ירושלים, מרכז","23/02/2026 07:20","53","13.8"
"תל-אביב, חוף","23/02/2026 07:20","62","17.1"
"ירושלים, גבעת רם","23/02/2026 07:30","56","12.5"
"ירושלים, מרכז","23/02/2026 07:30","52","14"
"תל-אביב, חוף","23/02/2026 07:30","60","17.4"
"ירושלים, גבעת רם","23/02/2026 07:40","56","12.2"
"ירושלים, מרכז","23/02/2026 07:40","54","13.5"
"תל-אביב, חוף","23/02/2026 07:40","60","17.5"
"ירושלים, גבעת רם","23/02/2026 07:50","55","12.5"
"ירושלים, מרכז","23/02/2026 07:50","53","13.9"
"תל-אביב, חוף","23/02/2026 07:50","59","17.5"
"ירושלים, גבעת רם","23/02/2026 08:00","55","12.5"
"ירושלים, מרכז","23/02/2026 08:00","51","14.3"
"תל-אביב, חוף","23/02/2026 08:00","57","17.8"
"ירושלים, גבעת רם","23/02/2026 08:10","54","13.2"
"ירושלים, מרכז","23/02/2026 08:10","50","14.6"
"תל-אביב, חוף","23/02/2026 08:10","59","18.2"
"ירושלים, גבעת רם","23/02/2026 08:20","55","12.7"
"ירושלים, מרכז","23/02/2026 08:20","50","14.8"
"תל-אביב, חוף","23/02/2026 08:20","65","18.1"
"ירושלים, גבעת רם","23/02/2026 08:30","56","12.5"
"ירושלים, מרכז","23/02/2026 08:30","51","14.3"
"תל-אביב, חוף","23/02/2026 08:30","65","17.9"
"ירושלים, גבעת רם","23/02/2026 08:40","55","12.5"
"ירושלים, מרכז","23/02/2026 08:40","53","13.5"
"תל-אביב, חוף","23/02/2026 08:40","64","18.1"
"ירושלים, גבעת רם","23/02/2026 08:50","53","12.5"
"ירושלים, מרכז","23/02/2026 08:50","53","13.3"
"תל-אביב, חוף","23/02/2026 08:50","61","18"
"ירושלים, גבעת רם","23/02/2026 09:00","53","12.6"
"ירושלים, מרכז","23/02/2026 09:00","52","13.6"
"תל-אביב, חוף","23/02/2026 09:00","67","18"
"ירושלים, גבעת רם","23/02/2026 09:10","55","12.6"
"ירושלים, מרכז","23/02/2026 09:10","52","13.4"
"תל-אביב, חוף","23/02/2026 09:10","68","17.6"
"ירושלים, גבעת רם","23/02/2026 09:20","57","12.7"
"ירושלים, מרכז","23/02/2026 09:20","53","13.4"
"תל-אביב, חוף","23/02/2026 09:20","69","17.7"
"ירושלים, גבעת רם","23/02/2026 09:30","58","12.6"
"ירושלים, מרכז","23/02/2026 09:30","55","13.6"
"תל-אביב, חוף","23/02/2026 09:30","70","17.8"
"ירושלים, גבעת רם","23/02/2026 09:40","60","12.3"
"ירושלים, מרכז","23/02/2026 09:40","55","13.8"
"תל-אביב, חוף","23/02/2026 09:40","66","17.9"
"ירושלים, גבעת רם","23/02/2026 09:50","62","12.1"
"ירושלים, מרכז","23/02/2026 09:50","57","13.6"
"תל-אביב, חוף","23/02/2026 09:50","68","17.9"
"ירושלים, גבעת רם","23/02/2026 10:00","62","12.4"
"ירושלים, מרכז","23/02/2026 10:00","57","13.3"
"תל-אביב, חוף","23/02/2026 10:00","67","17.9"
"ירושלים, גבעת רם","23/02/2026 10:10","62","12.4"
"ירושלים, מרכז","23/02/2026 10:10","60","13.2"
"תל-אביב, חוף","23/02/2026 10:10","63","17.8"
"ירושלים, גבעת רם","23/02/2026 10:20","62","12.1"
"ירושלים, מרכז","23/02/2026 10:20","60","13"
"תל-אביב, חוף","23/02/2026 10:20","66","17.9"
"ירושלים, גבעת רם","23/02/2026 10:30","69","11.6"
"ירושלים, מרכז","23/02/2026 10:30","63","12.8"
"תל-אביב, חוף","23/02/2026 10:30","67","17.7"
"ירושלים, גבעת רם","23/02/2026 10:40","70","11.2"
"ירושלים, מרכז","23/02/2026 10:40","67","12.3"
"תל-אביב, חוף","23/02/2026 10:40","64","17.6"
"ירושלים, גבעת רם","23/02/2026 10:50","69","11.4"
"ירושלים, מרכז","23/02/2026 10:50","63","12.3"
"תל-אביב, חוף","23/02/2026 10:50","64","17.6"
"ירושלים, גבעת רם","23/02/2026 11:00","67","11.8"
"ירושלים, מרכז","23/02/2026 11:00","62","12.3"
"תל-אביב, חוף","23/02/2026 11:00","65","17.5"
"ירושלים, גבעת רם","23/02/2026 11:10","73","11.4"
"ירושלים, מרכז","23/02/2026 11:10","64","12.6"
"תל-אביב, חוף","23/02/2026 11:10","66","17.5"
"ירושלים, גבעת רם","23/02/2026 11:20","81","10.5"
"ירושלים, מרכז","23/02/2026 11:20","76","11.8"
"תל-אביב, חוף","23/02/2026 11:20","69","17.5"
"ירושלים, גבעת רם","23/02/2026 11:30","82","9.9"
