שנה/ חודש,סוג אסדרה,תחרות באספקה/ אסדרה קיימת,ביתי/ לא ביתי,סיבות לססטוס  ,פירוט סיבת סטטוס ,סטטוס,מספר בקשות
2021/09,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,53
2021/09,מספקים וירטואליים,תחרות באספקה,ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,18
2021/09,מספקים וירטואליים,תחרות באספקה,לא ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,29
2021/09,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אחר,החלפת לקוחות או סיום חוזה,נדחה,1
2021/09,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,ייפוי כוח חסר/לא תקין,ייפוי כוח חסר/לא תקין,נדחה,1
2021/09,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,2
2021/09,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים בעל קריאה מרחוק לא תקינה,נדחה,5
2021/09,מספקים וירטואליים,תחרות באספקה,ביתי,ייפוי כוח חסר/לא תקין,ייפוי כוח חסר/לא תקין,נדחה,2
2021/09,מספקים וירטואליים,תחרות באספקה,ביתי,בעיות תקשורת במונה,לפחות אחד המונים אינו בר ניוד,נדחה,2
2021/09,מספקים וירטואליים,תחרות באספקה,ביתי,בעיות במילוי בקשת הניוד,פרטי הזדהות איש קשר לא תקינים,נדחה,3
2021/09,מספקים וירטואליים,תחרות באספקה,לא ביתי,אחר,"החוזה לא ניתן לניוד ע""פ מערכות חחי",נדחה,1
2021/09,מספקים וירטואליים,תחרות באספקה,לא ביתי,ייפוי כוח חסר/לא תקין,ייפוי כוח חסר/לא תקין,נדחה,12
2021/09,מספקים וירטואליים,תחרות באספקה,לא ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,4
2021/09,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים אינו בר ניוד,נדחה,3
2021/09,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים בעל קריאה מרחוק לא תקינה,נדחה,4
2021/09,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות במילוי בקשת הניוד,פרטי הזדהות איש קשר לא תקינים,נדחה,17
2021/10,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,361
2021/10,מספקים וירטואליים,תחרות באספקה,ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,14
2021/10,מספקים וירטואליים,תחרות באספקה,לא ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,7
2021/10,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,10
2021/10,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים אינו בר ניוד,נדחה,2
2021/10,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים בעל קריאה מרחוק לא תקינה,נדחה,2
2021/10,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות במילוי בקשת הניוד,פרטי הזדהות איש קשר לא תקינים,נדחה,4
2021/10,מספקים וירטואליים,תחרות באספקה,ביתי,אחר,"החוזה לא ניתן לניוד ע""פ מערכות חחי",נדחה,1
2021/10,מספקים וירטואליים,תחרות באספקה,ביתי,ייפוי כוח חסר/לא תקין,ייפוי כוח חסר/לא תקין,נדחה,6
2021/10,מספקים וירטואליים,תחרות באספקה,ביתי,בעיות תקשורת במונה,לפחות אחד המונים אינו בר ניוד,נדחה,2
2021/10,מספקים וירטואליים,תחרות באספקה,ביתי,בעיות במילוי בקשת הניוד,פרטי הזדהות איש קשר לא תקינים,נדחה,2
2021/10,מספקים וירטואליים,תחרות באספקה,לא ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,1
2021/10,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות במילוי בקשת הניוד,פרטי הזדהות איש קשר לא תקינים,נדחה,1
2021/11,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,375
2021/11,מספקים וירטואליים,תחרות באספקה,ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,1
2021/11,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות במילוי בקשת הניוד,אי עמידה בתקופת המינימום לעסקה,נדחה,1
2021/11,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אחר,"החוזה לא ניתן לניוד ע""פ מערכות חחי",נדחה,2
2021/11,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אחר,החלפת לקוחות או סיום חוזה,נדחה,4
2021/11,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,24
2021/11,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים בעל קריאה מרחוק לא תקינה,נדחה,3
2021/11,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות במילוי בקשת הניוד,פרטי הזדהות איש קשר לא תקינים,נדחה,9
2021/11,מספקים וירטואליים,תחרות באספקה,לא ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,1
2021/11,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות במילוי בקשת הניוד,פרטי הזדהות איש קשר לא תקינים,נדחה,1
2021/11,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות במילוי בקשת הניוד,תאריך מבוקש לניוד לא תקין,נדחה,1
2021/12,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,274
