מחוז ,מעמד מוניציפלי,מועצה/ עירייה, יישוב,סמל יישוב ,טכנולוגיה,סיווג  של הטכנולוגיה,שם הסדרה,מועד הפעלה מסחרית בפועל ,הספק MW
ירושלים,מועצה מקומית,אבו גוש,אבו גוש,472,פוטוולטאי,דו שימושי,מסלול ירוק (מהיר) [313],23/01/2025,0.018
ירושלים,מועצה מקומית,אבו גוש,אבו גוש,472,פוטוולטאי,דו שימושי,מסלול ירוק (מהיר) [313],04/08/2025,0.018
ירושלים,מועצה מקומית,אבו גוש,אבו גוש,472,פוטוולטאי,דו שימושי,מסלול ירוק (מהיר) [313],09/10/2025,0.018
ירושלים,מועצה מקומית,אבו גוש,אבו גוש,472,פוטוולטאי,דו שימושי,מונה נטו מעל 15 קוא [378],07/08/2019,0.12
ירושלים,מועצה מקומית,אבו גוש,אבו גוש,472,פוטוולטאי,דו שימושי,מכסה שניה מסחרית,31/12/2010,0.055
ירושלים,מועצה מקומית,אבו גוש,אבו גוש,472,פוטוולטאי,דו שימושי,חיבור מתקן עד 630 תעריף 2024 [316],25/11/2025,0.058
הצפון,מועצה מקומית,אבו סנאן,אבו סנאן,473,פוטוולטאי,דו שימושי,מסלול ירוק (מהיר) [313],02/11/2023,0.018
הצפון,מועצה מקומית,אבו סנאן,אבו סנאן,473,פוטוולטאי,דו שימושי,מסלול ירוק (מהיר) [313],05/12/2023,0.018
הצפון,מועצה מקומית,אבו סנאן,אבו סנאן,473,פוטוולטאי,דו שימושי,מסלול ירוק (מהיר) [313],25/02/2024,0.018
הצפון,מועצה מקומית,אבו סנאן,אבו סנאן,473,פוטוולטאי,דו שימושי,מסלול ירוק (מהיר) [313],16/04/2024,0.018
הצפון,מועצה מקומית,אבו סנאן,אבו סנאן,473,פוטוולטאי,דו שימושי,מסלול ירוק (מהיר) [313],28/07/2024,0.018
הצפון,מועצה מקומית,אבו סנאן,אבו סנאן,473,פוטוולטאי,דו שימושי,מסלול ירוק (מהיר) [313],05/09/2024,0.018
הצפון,מועצה מקומית,אבו סנאן,אבו סנאן,473,פוטוולטאי,דו שימושי,מסלול ירוק (מהיר) [313],01/02/2025,0.018
הצפון,מועצה מקומית,אבו סנאן,אבו סנאן,473,פוטוולטאי,דו שימושי,מסלול ירוק (מהיר) [313],21/04/2025,0.018
