מחוז , מעמד מוניצפלי ,מועצה/ עירייה, יישוב,סמל יישוב,ביטולים,טכנולוגיה,סיווג  של הטכנולוגיה,תשובת מחלק,שם הסדרה,תאריך תשובת מחלק,הספק MW
הדרום,עירייה,אשדוד,אשדוד,70,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית,אסדרת שוק מג [195],20/08/2023 00:00,1.203
הדרום,עירייה,אשדוד,אשדוד,70,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית,אסדרת שוק מג [195],27/12/2023 00:00,0.001
הדרום,מועצה אזורית,שדות נגב,עלומים,1146,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית,אסדרת שוק מג [195],24/12/2023 00:00,8
המרכז,מועצה אזורית,גזר,מצליח,757,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית,אסדרת שוק מג [195],17/08/2023 00:00,2.5
הצפון,מועצה אזורית,גולן,מרום גולן,4101,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית,אסדרת שוק מג [195],09/07/2023 00:00,0.001
הצפון,מועצה אזורית,גולן,מרום גולן,4101,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית,אסדרת שוק מג [195],09/07/2023 00:00,0.001
חיפה,מועצה אזורית,מנשה,גן השומרון,225,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית,אסדרת שוק מג [195],15/08/2023 00:00,0.001
הדרום,מועצה אזורית,לכיש,לכיש,24,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],20/07/2023 00:00,6.5
הדרום,מועצה אזורית,לכיש,עוצם,32,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],14/06/2023 00:00,4.9
הדרום,מועצה אזורית,שער הנגב,אור הנר,67,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],12/12/2023 00:00,2.1
